不可重复,假名,"如果有的话, 给出汉字",中文翻译,连到例子表,导出的图片名字,使用声音文件,声音开始时间,声音结束时间,来源
id,kana,kanji,chinese,example_id,image_path,sound_file,sound_start,sound_end,book_id
int,string,string,string,int,string,string,int,int,int
117,せい,,,0,res://assets/words/jp_word_117.png,,0,0,1
118,こうい,行為,,0,res://assets/words/jp_word_118.png,,0,0,1
119,こうろん,口論,,0,res://assets/words/jp_word_119.png,,0,0,1
120,どなる,怒鳴る,,0,res://assets/words/jp_word_120.png,,0,0,1
121,なぐる,殴る,,0,res://assets/words/jp_word_121.png,,0,0,1
122,かしかり,貸し借り,,0,res://assets/words/jp_word_122.png,,0,0,1
123,ばらす,,,0,res://assets/words/jp_word_123.png,,0,0,1
124,きまずい,気まずい,,0,res://assets/words/jp_word_124.png,,0,0,1
125,いまさら,今さら,,0,res://assets/words/jp_word_125.png,,0,0,1
126,だいなし,台無し,,0,res://assets/words/jp_word_126.png,,0,0,1
127,うらむ,,,0,res://assets/words/jp_word_127.png,,0,0,1
128,おいだす,追い出す,,0,res://assets/words/jp_word_128.png,,0,0,1
129,なかまはずれ,仲間外れ,,0,res://assets/words/jp_word_129.png,,0,0,1
130,あいつ,,,0,res://assets/words/jp_word_130.png,,0,0,1
131,たにん,他人,,0,res://assets/words/jp_word_131.png,,0,0,1
132,ひとりずまい,一人住まい,,0,res://assets/words/jp_word_132.png,,0,0,1
133,ちんたい,賃貸,,0,res://assets/words/jp_word_133.png,,0,0,1
134,しききん,敷金,,0,res://assets/words/jp_word_134.png,,0,0,1
135,こうしん,更新,,0,res://assets/words/jp_word_135.png,,0,0,1
136,ローン,,,0,res://assets/words/jp_word_136.png,,0,0,1
137,きまり,決まり,,0,res://assets/words/jp_word_137.png,,0,0,1
138,いっこだて,一戸建て,,0,res://assets/words/jp_word_138.png,,0,0,1
139,マイホーム,,,0,res://assets/words/jp_word_139.png,,0,0,1
140,わがや,我が家,,0,res://assets/words/jp_word_140.png,,0,0,1
141,かおく,家屋,,0,res://assets/words/jp_word_141.png,,0,0,1
